Steady-state region,,PRESSURE IN PSIG,,,,,,,,,,,,
Sample,Time (ms),CHAN1,CHAN2,CHAN3,CHAN4,CHAN5,CHAN6,CHAN7,CHAN8,CHAN9,CHAN10,CHAN11,CHAN12,CHAN13
3753,30024,50.08651,24.64513,6.551883,-0.155352,-3.473006,-5.943882,-7.70558,-8.203021,-9.281854,-5.823742,3.679093,4.285456,13.45917
3754,30032,50.30152,24.74034,6.475919,-0.1035681,-3.406218,-5.958955,-7.700541,-8.182616,-9.272289,-6.924292,3.763613,5.114292,13.08795
3755,30040,50.12511,24.70861,6.59936,-0.08473754,-3.38053,-5.974028,-7.685422,-8.187717,-9.267508,-7.922938,3.5548,5.420396,12.04567
3756,30048,50.2519,24.70332,6.670577,-0.07061458,-3.365117,-5.958955,-7.700541,-8.192819,-9.272289,-8.330549,3.89785,5.448652,13.54484
3757,30056,50.21882,24.661,6.661081,-0.08473754,-3.38053,-5.958955,-7.725739,-8.182616,-9.281854,-8.019746,3.992313,5.250861,13.43062
3758,30064,50.31254,24.70861,6.632595,-0.06119931,-3.35998,-5.958955,-7.725739,-8.187717,-9.277072,-8.463023,3.768585,5.811267,13.51152
3759,30072,50.10305,24.74034,6.623099,-0.07061458,-3.344567,-5.958955,-7.7207,-8.19792,-9.286635,-8.269408,4.370166,5.547547,12.74052
3760,30080,50.27395,24.75092,6.632595,-0.1129833,-3.390805,-5.95393,-7.7207,-8.19792,-9.243598,-7.235095,3.798415,4.718711,14.0636
3761,30088,50.04792,24.68745,6.68482,-0.09886038,-3.40108,-5.963979,-7.70558,-8.19792,-9.238815,-7.62742,4.042031,5.015397,12.77384
3762,30096,50.27946,24.61869,6.623099,-0.09886038,-3.411355,-5.984077,-7.71062,-8.203021,-9.272289,-7.204524,3.75367,4.252491,12.53588
3763,30104,50.06446,24.68745,6.556631,-0.08944511,-3.421631,-5.969004,-7.71566,-8.203021,-9.272289,-8.009556,3.510054,4.935338,13.19265
3764,30112,50.29601,24.69274,6.442685,-0.1035681,-3.437043,-5.95393,-7.740858,-8.19792,-9.277072,-7.550993,3.703952,4.883537,13.12126
3765,30120,50.15267,24.72976,6.466424,-0.07532227,-3.411355,-5.95393,-7.725739,-8.172413,-9.286635,-7.62742,4.081805,5.053071,13.27356
3766,30128,49.95421,24.63456,6.485415,-0.1176909,-3.442181,-5.969004,-7.725739,-8.182616,-9.286635,-7.24019,4.027116,5.090746,13.13554
3767,30136,49.91562,24.59224,6.542387,-0.1271062,-3.442181,-5.974028,-7.71062,-8.19792,-9.2962,-7.04148,3.838189,5.12842,12.45021
3768,30144,50.00382,24.58166,6.513901,-0.1459367,-3.462731,-5.984077,-7.71062,-8.213224,-9.2962,-7.958605,3.420562,4.525631,12.02188
3769,30152,49.84395,24.51819,6.45218,-0.1600597,-3.447319,-5.99915,-7.735818,-8.19792,-9.305763,-7.882177,3.733783,5.13313,13.19265
3770,30160,49.77779,24.47587,6.556631,-0.155352,-3.488419,-5.989101,-7.725739,-8.208123,-9.305763,-7.153573,4.027116,4.784642,13.05939
3771,30168,49.8219,24.48116,6.466424,-0.1741825,-3.483282,-5.984077,-7.71062,-8.218326,-9.324891,-6.644059,3.758641,4.483247,12.39786
3772,30176,49.93216,24.52877,6.333487,-0.1741825,-3.452456,-5.989101,-7.725739,-8.223427,-9.305763,-7.311522,3.589602,4.313713,12.98325
3773,30184,49.79985,24.47587,6.314496,-0.1930131,-3.488419,-5.99915,-7.740858,-8.223427,-9.315328,-7.500042,3.892879,4.93063,12.84523
3774,30192,49.78882,24.43885,6.433189,-0.2024283,-3.534658,-5.984077,-7.740858,-8.223427,-9.315328,-6.975243,3.654234,4.723421,13.42586
3775,30200,49.84946,24.47058,6.371469,-0.207136,-3.519245,-5.974028,-7.781175,-8.223427,-9.324891,-6.557442,3.564743,4.765805,13.38302
3776,30208,49.49113,24.40182,6.409451,-0.2259666,-3.503832,-6.009199,-7.740858,-8.238731,-9.324891,-7.505137,3.360901,4.845862,11.67921
3777,30216,49.79985,24.42827,6.376216,-0.2024283,-3.488419,-6.009199,-7.730779,-8.23363,-9.329674,-7.571374,3.579659,4.445572,13.30688
3778,30224,49.92113,24.44414,6.580369,-0.1835978,-3.493557,-5.984077,-7.735818,-8.23363,-9.320109,-7.856702,3.5548,4.850572,12.86902
3779,30232,49.66754,24.4653,6.627847,-0.1788902,-3.473006,-6.009199,-7.730779,-8.228528,-9.315328,-7.515327,3.604517,4.723421,12.37406
3780,30240,49.60138,24.44414,6.589865,-0.169475,-3.452456,-6.024272,-7.725739,-8.218326,-9.310546,-7.423615,3.430506,4.638653,12.55967
3781,30248,49.35331,24.38595,6.428442,-0.2024283,-3.503832,-6.019248,-7.730779,-8.223427,-9.315328,-7.989175,3.823274,5.081327,12.87854
3782,30256,49.54074,24.32777,6.371469,-0.2259666,-3.539795,-6.014224,-7.766057,-8.228528,-9.329674,-7.999366,3.733783,5.232024,13.33067
3783,30264,49.65651,24.29604,6.414198,-0.2447971,-3.560345,-5.989101,-7.806373,-8.243833,-9.334455,-7.59685,3.937624,5.151966,13.59719
3784,30272,49.51318,24.3648,6.39046,-0.2259666,-3.503832,-6.019248,-7.796294,-8.238731,-9.329674,-8.177695,4.027116,5.081327,13.00228
3785,30280,49.436,24.30661,6.39046,-0.2259666,-3.467869,-6.039346,-7.776135,-8.248934,-9.334455,-8.493594,4.037059,5.114292,12.79764
3786,30288,49.49113,24.25901,6.45218,-0.2165513,-3.478144,-6.039346,-7.786214,-8.254035,-9.348802,-8.427357,3.858076,5.024815,12.68341
3787,30296,49.51318,24.27488,6.499658,-0.2353818,-3.498694,-6.039346,-7.781175,-8.259137,-9.34402,-7.963699,3.798415,4.605688,12.99276
3788,30304,49.31472,24.2643,6.509153,-0.2353818,-3.493557,-6.054419,-7.750937,-8.248934,-9.334455,-8.187885,3.345986,4.450282,11.83151
3789,30312,49.4801,24.25901,6.528144,-0.2353818,-3.498694,-6.059443,-7.735818,-8.259137,-9.334455,-8.794207,3.246551,4.79406,12.30743
3790,30320,49.38638,24.25372,6.49491,-0.2542124,-3.52952,-6.059443,-7.740858,-8.259137,-9.353583,-9.089725,3.445421,4.92592,13.33067
